Asset,Exp Return,Total Volatility,Downside Dev,Sharpe Ratio,Sortino Ratio
TATASTEEL.NS,0.2664,0.3413,0.2344,0.6048,0.8803
RELIANCE.NS,0.2097,0.2641,0.1753,0.5667,0.8539
POWERGRID.NS,0.1923,0.2471,0.1676,0.5355,0.7897
GC=F,0.1289,0.163,0.1178,0.4227,0.5851
MARUTI.NS,0.1587,0.2676,0.1814,0.3689,0.544
CIPLA.NS,0.1444,0.2519,0.161,0.335,0.524
HINDUNILVR.NS,0.1267,0.2134,0.1398,0.3125,0.4768
HDFCBANK.NS,0.129,0.2234,0.1553,0.3088,0.4442
TCS.NS,0.1019,0.2339,0.1636,0.1791,0.256
CL=F,-0.206,1.1283,1.0778,-0.2358,-0.2468
